EmployeeId,Age,Ageband,Gender,Department,JobRole,BusinessTravel,MaritalStatus,TenureBand,YearsInCurrentRole,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,MonthlyIncome,OverTime,Attrition,AttritionFlag,YearsAtCompany
36,44,35-44,Female,Research & Development,Healthcare Representative,Travel_Rarely,Married,10+ Years,6,2,4,1,4,3,3,10248,false,false,0,22
38,46,45-54,Female,Sales,Manager,Travel_Rarely,Single,1-3 Years,2,3,1,2,4,2,3,18947,false,false,0,2
39,33,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Single,1-3 Years,1,3,4,3,4,3,3,2496,false,false,0,1
40,44,35-44, Male,Research & Development,Healthcare Representative,Travel_Rarely,Married,3-5  Years,2,3,4,4,4,4,3,6465,true,false,0,4
41,30,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Single,10+ Years,0,2,3,4,1,3,3,2206,false,false,0,10
42,39,35-44, Male,Sales,Sales Representative,Travel_Rarely,Married,1-3 Years,0,3,4,4,3,4,3,2086,false,true,1,1
45,24,<25, Male,Research & Development,Research Scientist,Travel_Rarely,Married,1-3 Years,0,3,4,2,1,2,3,2293,true,true,1,2
46,43,35-44,Female,Research & Development,Research Scientist,Travel_Rarely,Divorced,5-10 Years,3,4,3,4,4,2,3,2645,false,false,0,5
47,50,45-54, Male,Sales,Sales Representative,Travel_Rarely,Married,3-5  Years,2,2,3,1,3,3,3,2683,true,true,1,3
49,35,35-44,Female,Sales,Sales Representative,Travel_Rarely,Married,1-3 Years,2,3,4,4,1,3,3,2014,false,false,0,2
51,36,35-44,Female,Research & Development,Research Scientist,Travel_Rarely,Married,1-3 Years,1,2,1,2,4,4,3,3419,true,false,0,1
52,33,25-34,Female,Sales,Sales Executive,Travel_Frequently,Married,5-10 Years,3,4,1,3,1,3,3,5376,false,false,0,5
53,35,35-44, Male,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,1-3 Years,0,3,4,3,3,3,3,1951,false,false,0,1
54,27,25-34,Female,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,1-3 Years,0,3,1,4,4,3,3,2341,false,false,0,1
55,26,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Single,1-3 Years,0,1,3,1,3,2,3,2293,false,true,1,1
56,27,25-34, Male,Sales,Sales Executive,Travel_Frequently,Single,5-10 Years,8,3,3,4,4,3,3,8726,false,false,0,9
57,30,25-34,Female,Research & Development,Laboratory Technician,Travel_Frequently,Single,10+ Years,8,3,4,3,4,3,4,4011,false,false,0,12
58,41,35-44,Female,Research & Development,Research Director,Travel_Rarely,Married,10+ Years,15,3,3,2,4,3,3,19545,false,true,1,22
60,34,25-34, Male,Sales,Sales Executive,Non-Travel,Single,5-10 Years,5,3,3,2,3,3,4,4568,false,false,0,9
61,37,35-44, Male,Research & Development,Research Scientist,Travel_Rarely,Married,1-3 Years,0,3,2,2,1,3,4,3022,false,false,0,1
62,46,45-54, Male,Sales,Sales Executive,Travel_Frequently,Single,5-10 Years,6,3,4,1,3,3,4,5772,true,false,0,9
63,35,35-44, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,1-3 Years,0,4,4,4,4,3,3,2269,false,false,0,1
64,48,45-54, Male,Research & Development,Laboratory Technician,Travel_Rarely,Single,1-3 Years,0,2,3,1,4,3,3,5381,true,true,1,1
65,28,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Single,1-3 Years,2,3,3,3,3,2,3,3441,true,true,1,2
68,44,35-44,Female,Sales,Sales Executive,Travel_Rarely,Divorced,3-5  Years,3,3,1,2,3,2,4,5454,true,false,0,4
70,35,35-44, Male,Research & Development,Healthcare Representative,Non-Travel,Married,3-5  Years,0,2,1,3,3,3,3,9884,true,false,0,4
72,26,25-34,Female,Sales,Sales Executive,Travel_Rarely,Married,1-3 Years,2,2,4,3,3,2,3,4157,true,false,0,2
73,33,25-34,Female,Research & Development,Research Director,Travel_Frequently,Single,10+ Years,14,3,4,1,3,3,3,13458,true,false,0,15
74,35,35-44, Male,Sales,Sales Executive,Travel_Frequently,Married,5-10 Years,8,3,1,2,4,2,4,9069,false,false,0,9
75,35,35-44,Female,Research & Development,Laboratory Technician,Travel_Rarely,Married,1-3 Years,2,3,1,3,3,3,3,4014,true,false,0,2
76,31,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,5-10 Years,7,3,4,4,4,2,4,5915,false,false,0,7
77,37,35-44, Male,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,5-10 Years,5,2,3,1,3,4,3,5993,false,false,0,7
78,32,25-34, Male,Research & Development,Manufacturing Director,Travel_Rarely,Married,5-10 Years,8,3,4,1,2,3,4,6162,true,false,0,9
79,38,35-44,Female,Research & Development,Laboratory Technician,Travel_Frequently,Single,10+ Years,3,3,4,4,4,3,3,2406,false,false,0,10
80,50,45-54,Female,Research & Development,Research Director,Travel_Rarely,Divorced,10+ Years,3,2,3,2,4,2,3,18740,true,false,0,27
81,59,55+,Female,Sales,Sales Executive,Travel_Rarely,Single,10+ Years,16,3,1,1,4,2,3,7637,false,false,0,21
83,36,35-44,Female,Research & Development,Healthcare Representative,Travel_Rarely,Divorced,10+ Years,14,3,3,3,2,3,3,10096,false,false,0,17
84,55,55+,Female,Research & Development,Manager,Travel_Rarely,Divorced,5-10 Years,0,3,3,4,3,3,3,14756,true,false,0,5
85,36,35-44, Male,Research & Development,Manufacturing Director,Travel_Frequently,Single,5-10 Years,5,2,2,2,3,3,3,6499,false,false,0,6
86,45,45-54, Male,Research & Development,Research Scientist,Travel_Rarely,Divorced,1-3 Years,0,3,1,2,3,3,3,9724,false,false,0,1
88,35,35-44, Male,Research & Development,Research Scientist,Travel_Frequently,Married,3-5  Years,2,3,1,2,4,2,3,2194,false,false,0,3
90,36,35-44, Male,Research & Development,Research Scientist,Travel_Rarely,Married,1-3 Years,0,2,3,4,1,2,3,3388,true,true,1,1
91,59,55+,Female,Sales,Sales Executive,Travel_Frequently,Single,3-5  Years,3,2,3,1,4,2,3,5473,false,false,0,4
94,29,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Married,5-10 Years,4,3,2,3,4,3,4,2703,false,false,0,5
95,31,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Single,1-3 Years,1,3,2,3,2,3,3,2501,false,false,0,1
96,32,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Married,10+ Years,4,3,2,2,2,3,3,6220,false,false,0,10
97,36,35-44,Female,Research & Development,Laboratory Technician,Travel_Rarely,Married,1-3 Years,0,4,4,2,2,3,3,3038,false,false,0,1
98,31,25-34,Female,Research & Development,Manufacturing Director,Travel_Rarely,Single,10+ Years,7,3,4,3,4,3,4,4424,false,false,0,11
100,35,35-44, Male,Sales,Sales Executive,Travel_Rarely,Single,10+ Years,13,2,1,3,2,3,3,4312,false,false,0,15
101,45,45-54, Male,Research & Development,Research Director,Travel_Rarely,Married,<1Year,0,3,1,4,2,4,3,13245,true,false,0,0
102,37,35-44, Male,Research & Development,Research Director,Travel_Rarely,Single,5-10 Years,2,3,3,1,1,4,3,13664,false,false,0,5
103,46,45-54, Male,Human Resources,Human Resources,Travel_Rarely,Divorced,3-5  Years,2,3,2,2,4,3,4,5021,true,false,0,4
104,30,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,10+ Years,8,2,4,4,3,2,3,5126,true,false,0,10
105,35,35-44, Male,Research & Development,Research Scientist,Travel_Rarely,Single,5-10 Years,4,2,3,2,1,3,3,2859,false,false,0,6
106,55,55+, Male,Sales,Sales Executive,Travel_Rarely,Married,1-3 Years,0,3,4,1,4,3,3,10239,false,false,0,1
107,38,35-44,Female,Research & Development,Research Scientist,Non-Travel,Divorced,10+ Years,11,1,4,2,4,3,3,5329,true,false,0,13
110,34,25-34, Male,Research & Development,Manufacturing Director,Travel_Rarely,Married,5-10 Years,2,3,2,1,3,3,3,4325,false,false,0,5
112,56,55+, Male,Research & Development,Manufacturing Director,Travel_Rarely,Single,5-10 Years,4,1,4,4,1,2,3,7260,false,false,0,6
113,23,<25, Male,Sales,Sales Representative,Travel_Rarely,Divorced,<1Year,0,3,1,3,3,3,3,2322,false,false,0,0
116,51,45-54, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,3-5  Years,2,3,4,4,2,3,4,2075,false,false,0,4
117,30,25-34, Male,Research & Development,Healthcare Representative,Travel_Rarely,Married,10+ Years,10,2,4,3,1,3,3,4152,false,false,0,11
118,46,45-54, Male,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,8,2,4,3,4,3,3,9619,false,true,1,9
119,40,35-44, Male,Research & Development,Healthcare Representative,Travel_Frequently,Married,10+ Years,3,2,2,3,4,2,4,13503,false,false,0,22
120,51,45-54, Male,Sales,Sales Executive,Travel_Rarely,Single,10+ Years,7,3,4,3,4,1,4,5441,true,false,0,10
121,30,25-34,Female,Sales,Sales Executive,Travel_Rarely,Divorced,10+ Years,8,2,2,3,2,2,3,5209,true,false,0,11
124,46,45-54, Male,Research & Development,Healthcare Representative,Travel_Frequently,Married,10+ Years,9,2,1,3,3,2,3,10673,true,false,0,10
125,32,25-34, Male,Sales,Sales Executive,Travel_Rarely,Single,10+ Years,8,3,3,2,1,3,3,5010,false,false,0,11
126,54,45-54,Female,Research & Development,Research Director,Travel_Rarely,Married,3-5  Years,3,3,3,1,1,1,3,13549,false,false,0,4
128,24,<25,Female,Sales,Sales Executive,Travel_Rarely,Married,3-5  Years,2,3,3,1,1,2,4,4999,false,false,0,3
129,28,25-34, Male,Sales,Sales Executive,Non-Travel,Married,5-10 Years,4,3,3,2,2,4,3,4221,false,false,0,5
131,58,55+, Male,Sales,Sales Executive,Travel_Rarely,Single,10+ Years,10,3,3,4,3,2,3,13872,false,false,0,37
132,44,35-44, Male,Research & Development,Laboratory Technician,Non-Travel,Married,3-5  Years,2,3,2,2,3,4,3,2042,false,false,0,3
133,37,35-44, Male,Human Resources,Human Resources,Travel_Rarely,Divorced,3-5  Years,2,3,1,3,4,3,4,2073,true,true,1,3
134,32,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Single,1-3 Years,0,3,1,4,4,3,3,2956,false,false,0,1
137,20,<25,Female,Research & Development,Laboratory Technician,Travel_Frequently,Single,1-3 Years,0,2,4,4,2,3,3,2926,true,true,1,1
138,34,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Single,10+ Years,13,3,3,1,3,3,3,4809,false,false,0,16
139,37,35-44, Male,Research & Development,Healthcare Representative,Non-Travel,Divorced,1-3 Years,0,2,4,3,4,4,3,5163,false,false,0,1
140,59,55+,Female,Human Resources,Manager,Non-Travel,Married,3-5  Years,2,2,4,3,4,3,4,18844,false,false,0,3
141,50,45-54,Female,Research & Development,Research Director,Travel_Frequently,Married,5-10 Years,3,3,2,1,1,2,3,18172,true,false,0,8
142,25,25-34, Male,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,4,2,3,3,4,3,3,5744,true,true,1,6
143,25,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Married,1-3 Years,2,2,4,4,3,3,3,2889,false,false,0,2
144,22,<25,Female,Research & Development,Laboratory Technician,Travel_Rarely,Single,<1Year,0,3,4,2,3,3,3,2871,false,false,0,0
145,51,45-54,Female,Research & Development,Healthcare Representative,Travel_Frequently,Single,10+ Years,12,2,1,1,3,2,4,7484,false,false,0,13
147,34,25-34, Male,Research & Development,Laboratory Technician,Travel_Frequently,Single,5-10 Years,7,1,3,1,4,3,4,6074,true,true,1,9
148,54,45-54,Female,Human Resources,Manager,Non-Travel,Single,5-10 Years,3,4,4,4,3,3,3,17328,true,false,0,5
150,24,<25, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,5-10 Years,3,3,3,2,3,3,3,2774,false,false,0,5
151,34,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Divorced,1-3 Years,0,2,2,3,3,3,3,4505,false,false,0,1
152,37,35-44, Male,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,3,3,4,3,1,3,3,7428,false,false,0,5
153,34,25-34,Female,Research & Development,Manager,Travel_Rarely,Single,10+ Years,10,2,1,3,4,3,3,11631,false,false,0,11
154,36,35-44,Female,Sales,Sales Executive,Travel_Frequently,Married,5-10 Years,7,3,4,2,3,3,3,9738,false,false,0,9
155,36,35-44,Female,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,1-3 Years,0,3,4,1,1,3,4,2835,false,false,0,1
158,43,35-44, Male,Sales,Manager,Travel_Frequently,Married,10+ Years,12,3,4,3,4,4,3,16959,true,false,0,25
159,30,25-34, Male,Research & Development,Research Scientist,Travel_Frequently,Divorced,10+ Years,7,1,3,1,3,2,4,2613,false,false,0,10
160,33,25-34, Male,Sales,Sales Executive,Non-Travel,Married,5-10 Years,7,3,2,3,1,4,3,6146,false,false,0,7
161,56,55+,Female,Research & Development,Research Scientist,Travel_Rarely,Married,5-10 Years,4,3,2,2,1,3,3,4963,true,true,1,5
162,51,45-54, Male,Research & Development,Research Director,Travel_Rarely,Single,10+ Years,18,3,3,1,3,3,3,19537,false,false,0,20
163,31,25-34, Male,Sales,Sales Executive,Travel_Rarely,Married,5-10 Years,7,1,3,2,2,2,3,6172,true,true,1,7
164,26,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Married,5-10 Years,4,2,2,3,3,2,3,2368,false,false,0,5
165,58,55+,Female,Research & Development,Healthcare Representative,Travel_Rarely,Married,10+ Years,10,3,4,4,4,2,3,10312,false,true,1,40
167,19,<25, Male,Sales,Sales Representative,Travel_Rarely,Single,<1Year,0,3,3,4,4,2,3,1675,true,true,1,0
169,22,<25, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,1-3 Years,1,3,4,3,3,3,3,2523,false,false,0,2
170,49,45-54,Female,Research & Development,Manufacturing Director,Travel_Rarely,Married,10+ Years,11,3,1,3,3,2,3,6567,false,false,0,15
171,43,35-44,Female,Research & Development,Research Scientist,Travel_Frequently,Single,3-5  Years,2,4,3,2,4,3,3,4739,false,false,0,3
174,50,45-54,Female,Sales,Sales Executive,Travel_Frequently,Single,1-3 Years,2,3,4,3,4,3,3,9208,false,false,0,2
175,31,25-34,Female,Sales,Sales Executive,Travel_Rarely,Married,1-3 Years,2,1,3,2,3,3,3,4559,true,true,1,2
176,41,35-44, Male,Sales,Sales Executive,Travel_Rarely,Divorced,5-10 Years,7,3,3,3,3,3,3,8189,true,false,0,9
177,26,25-34,Female,Human Resources,Human Resources,Travel_Rarely,Married,5-10 Years,7,3,3,3,4,3,4,2942,false,false,0,8
178,36,35-44, Male,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,3-5  Years,2,3,2,2,4,3,4,4941,false,false,0,3
179,51,45-54, Male,Research & Development,Manufacturing Director,Travel_Frequently,Single,3-5  Years,2,1,4,1,4,3,3,10650,false,true,1,4
182,39,35-44,Female,Sales,Sales Executive,Travel_Rarely,Married,10+ Years,11,2,3,4,3,4,3,5902,false,false,0,15
183,25,25-34, Male,Sales,Sales Executive,Travel_Rarely,Married,1-3 Years,2,2,3,1,4,3,3,8639,false,false,0,2
184,30,25-34, Male,Human Resources,Human Resources,Travel_Rarely,Married,10+ Years,9,3,4,3,4,1,3,6347,true,false,0,11
190,32,25-34,Female,Research & Development,Laboratory Technician,Travel_Rarely,Single,5-10 Years,4,3,1,1,1,4,4,4200,false,true,1,5
192,45,45-54, Male,Research & Development,Research Scientist,Travel_Rarely,Single,5-10 Years,5,3,4,3,2,2,3,3452,false,false,0,6
193,38,35-44,Female,Research & Development,Research Scientist,Travel_Rarely,Single,3-5  Years,2,3,3,4,2,3,4,4317,true,false,0,3
194,30,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Single,5-10 Years,4,3,3,1,3,2,3,2632,false,false,0,5
195,32,25-34, Male,Sales,Sales Executive,Travel_Frequently,Divorced,5-10 Years,7,1,4,4,4,4,3,4668,false,false,0,8
197,30,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Divorced,3-5  Years,2,3,1,4,4,3,3,3204,false,false,0,3
198,30,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Single,5-10 Years,3,2,4,2,4,3,3,2720,false,false,0,5
199,41,35-44, Male,Research & Development,Manager,Travel_Frequently,Divorced,5-10 Years,6,2,1,4,2,2,3,17181,false,false,0,7
200,41,35-44, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,5-10 Years,0,3,1,3,4,3,4,2238,false,false,0,5
201,19,<25,Female,Research & Development,Laboratory Technician,Travel_Rarely,Single,1-3 Years,0,3,2,2,4,3,3,1483,false,false,0,1
202,40,35-44,Female,Research & Development,Research Scientist,Travel_Frequently,Divorced,10+ Years,7,3,2,2,1,3,3,5605,false,false,0,20
204,35,35-44, Male,Sales,Sales Executive,Travel_Rarely,Married,10+ Years,8,3,2,3,1,3,3,7295,false,false,0,10
205,53,45-54, Male,Sales,Sales Representative,Travel_Rarely,Married,5-10 Years,7,3,3,2,4,1,4,2306,true,false,0,7
206,45,45-54, Male,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,10+ Years,9,3,2,2,3,1,3,2348,false,false,0,17
207,32,25-34,Female,Sales,Sales Executive,Travel_Frequently,Single,5-10 Years,8,3,4,2,4,3,3,8998,false,false,0,9
208,29,25-34, Male,Research & Development,Manufacturing Director,Non-Travel,Married,10+ Years,7,3,3,4,1,3,3,4319,false,false,0,10
211,51,45-54, Male,Research & Development,Manufacturing Director,Travel_Rarely,Married,1-3 Years,0,2,3,2,3,3,3,6132,false,false,0,1
214,58,55+,Female,Research & Development,Research Scientist,Travel_Rarely,Married,1-3 Years,0,2,2,2,2,2,4,3346,true,false,0,1
215,40,35-44, Male,Sales,Sales Executive,Travel_Rarely,Married,10+ Years,11,2,4,3,1,2,3,10855,false,false,0,12
216,34,25-34,Female,Sales,Sales Representative,Travel_Frequently,Married,3-5  Years,3,3,3,3,4,3,3,2231,false,false,0,4
217,22,<25, Male,Research & Development,Research Scientist,Travel_Rarely,Married,1-3 Years,2,3,4,3,1,3,4,2323,false,false,0,2
218,27,25-34, Male,Research & Development,Research Scientist,Non-Travel,Divorced,1-3 Years,2,3,2,4,4,1,3,2024,false,false,0,2
221,28,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Married,5-10 Years,2,3,4,3,3,1,3,2713,false,false,0,5
223,57,55+, Male,Research & Development,Healthcare Representative,Travel_Rarely,Divorced,5-10 Years,3,4,4,3,2,1,3,9439,true,false,0,5
224,27,25-34, Male,Research & Development,Research Scientist,Non-Travel,Divorced,1-3 Years,1,2,3,3,4,2,3,2566,true,false,0,1
226,50,45-54,Female,Research & Development,Manager,Travel_Rarely,Single,5-10 Years,4,3,2,3,2,3,3,19926,false,false,0,5
227,41,35-44, Male,Research & Development,Research Scientist,Travel_Rarely,Divorced,5-10 Years,8,3,3,1,1,3,3,2451,false,false,0,9
228,30,25-34,Female,Sales,Sales Executive,Travel_Rarely,Married,10+ Years,9,3,4,2,3,3,3,9419,false,false,0,10
230,38,35-44,Female,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,3,2,4,1,3,4,4,8686,false,false,0,8
231,32,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Single,5-10 Years,4,3,3,3,1,3,4,3038,false,false,0,5
233,27,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Married,5-10 Years,2,3,2,3,4,2,3,3058,true,false,0,5
235,19,<25,Female,Sales,Sales Representative,Travel_Frequently,Single,<1Year,0,1,1,3,1,4,4,2325,false,true,1,0
238,36,35-44, Male,Research & Development,Laboratory Technician,Travel_Frequently,Single,5-10 Years,7,3,2,4,3,2,3,2088,false,false,0,8
239,30,25-34, Male,Research & Development,Laboratory Technician,Non-Travel,Divorced,10+ Years,9,3,1,3,3,3,3,3072,false,false,0,12
240,45,45-54,Female,Sales,Sales Executive,Travel_Rarely,Divorced,5-10 Years,4,3,1,3,1,4,3,5006,true,false,0,5
241,56,55+,Female,Research & Development,Research Scientist,Travel_Rarely,Divorced,1-3 Years,2,3,1,3,3,3,3,4257,true,false,0,2
242,33,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Single,3-5  Years,1,3,4,3,1,4,3,2500,false,false,0,3
243,19,<25, Male,Research & Development,Laboratory Technician,Travel_Rarely,Single,1-3 Years,0,2,4,2,3,2,4,1102,false,true,1,1
244,46,45-54,Female,Sales,Sales Executive,Travel_Rarely,Divorced,10+ Years,13,3,1,2,3,3,4,10453,false,false,0,24
245,38,35-44,Female,Research & Development,Laboratory Technician,Travel_Rarely,Single,1-3 Years,2,3,4,3,3,3,3,2288,false,false,0,2
246,31,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Married,3-5  Years,2,3,4,3,3,3,4,3929,true,false,0,4
247,34,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Single,3-5  Years,2,3,2,4,4,3,3,2311,false,false,0,3
248,41,35-44,Female,Sales,Sales Representative,Travel_Rarely,Single,3-5  Years,3,3,2,2,4,2,4,3140,true,true,1,4
249,50,45-54, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,3-5  Years,2,2,3,3,4,2,3,3690,false,false,0,3
250,53,45-54,Female,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,3-5  Years,2,4,1,4,3,3,3,4450,false,false,0,4
252,33,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Married,5-10 Years,7,3,2,4,4,3,3,2756,false,false,0,8
253,40,35-44,Female,Research & Development,Manager,Travel_Rarely,Married,10+ Years,8,3,3,4,2,3,3,19033,false,false,0,20
254,55,55+, Male,Research & Development,Research Director,Travel_Rarely,Single,10+ Years,15,4,2,3,4,3,3,18722,false,false,0,24
256,34,25-34, Male,Research & Development,Manufacturing Director,Travel_Frequently,Married,10+ Years,9,2,3,4,3,2,3,9547,false,false,0,10
258,51,45-54,Female,Research & Development,Healthcare Representative,Travel_Rarely,Single,5-10 Years,7,3,2,4,3,3,3,13734,false,false,0,7
259,52,45-54, Male,Research & Development,Manager,Travel_Rarely,Married,10+ Years,18,2,3,3,1,3,3,19999,false,false,0,33
260,27,25-34,Female,Research & Development,Research Scientist,Travel_Rarely,Single,5-10 Years,7,3,2,4,4,2,3,2279,false,false,0,7
261,35,35-44, Male,Research & Development,Manufacturing Director,Travel_Rarely,Married,1-3 Years,0,2,3,2,1,3,3,5916,true,true,1,1
262,43,35-44, Male,Research & Development,Research Scientist,Non-Travel,Divorced,5-10 Years,4,4,4,4,4,4,3,2089,false,false,0,5
264,45,45-54, Male,Research & Development,Manager,Non-Travel,Married,10+ Years,8,2,4,1,4,3,4,16792,false,false,0,20
267,37,35-44, Male,Research & Development,Research Scientist,Travel_Rarely,Married,5-10 Years,7,4,1,2,1,2,3,3564,true,false,0,8
269,35,35-44,Female,Research & Development,Laboratory Technician,Travel_Frequently,Single,5-10 Years,2,3,2,2,4,3,3,4425,false,false,0,6
270,42,35-44,Female,Research & Development,Manufacturing Director,Non-Travel,Divorced,5-10 Years,3,3,3,3,2,3,3,5265,false,false,0,5
271,38,35-44, Male,Research & Development,Manufacturing Director,Travel_Rarely,Married,1-3 Years,0,3,3,4,2,3,3,6553,false,false,0,1
273,38,35-44, Male,Research & Development,Manufacturing Director,Travel_Rarely,Married,5-10 Years,7,3,4,4,1,1,3,6261,false,false,0,7
274,27,25-34, Male,Research & Development,Manufacturing Director,Travel_Frequently,Married,1-3 Years,2,2,1,3,3,3,3,4298,false,false,0,2
275,49,45-54, Male,Research & Development,Manufacturing Director,Non-Travel,Divorced,5-10 Years,7,3,4,4,1,3,3,6804,true,false,0,7
